pageid,title,wikidata,label
1844266,Mustapa Mohamed,Q6155600,Mustapa Mohamed
2443762,Khairy Jamaluddin,Q1449940,Khairy Jamaluddin
2706373,Hishammuddin Hussein,Q5772615,Hishammuddin Hussein
7551887,Maximus Ongkili,Q6653321,Maximus Ongkili
7553539,Rais Yatim,Q2380853,Rais Yatim
8703527,Abdul Taib Mahmud,Q1015710,Abdul Taib Mahmud
17108474,Azmin Ali,Q73962,Mohamed Azmin Ali
17539552,Tengku Zafrul Aziz,Q8064320,Zafrul Aziz
18510731,Wee Ka Siong,Q7979293,Wee Ka Siong
20882603,Mahdzir Khalid,Q6733710,Mahdzir Khalid
25647087,Hamzah Zainudin,Q5646531,Hamzah Zainuddin
25692948,Saravanan Murugan,Q3521234,Saravanan Murugan
25731749,Saifuddin Abdullah,Q7400032,Saifuddin Abdullah
25743896,Ismail Sabri Yaakob,Q6084858,Ismail Sabri Yaakob
25758878,Noh Omar,Q7047541,Noh Omar
25769964,Zuraida Kamaruddin,Q8075369,Zuraida Kamarudin
25955055,Abdullah of Pahang,Q15467111,Abdullah of Pahang
25995916,Noraini Ahmad,Q7050236,Noraini Ahmad
26008162,Abdul Latiff Ahmad,Q4665513,Abdul Latiff Ahmad
26008444,Halimah Mohamed Sadique,Q5642346,Halimah Mohd Sadique
26018948,Shahidan Kassim,Q7461744,Shahidan Kassim
26801422,Ronald Kiandee,Q7365021,Ronald Kiandee
26840630,Wan Junaidi,Q7967007,Wan Junaidi Tuanku Jaafar
26856176,Fadillah Yusof,Q5429257,Fadillah Yusof
26931530,Nancy Shukri,Q6962983,Nancy Shukri
26981097,Douglas Uggah Embas,Q5302048,Douglas Uggah Embas
27091550,Alexander Nanta Linggi,Q4719738,Alexander Nanta Linggi
35815011,Annuar Musa,Q4769706,Annuar Musa
39392347,Ahmad Yakob,Q12857568,Ahmad Yaakob
44639090,Reezal Merican Naina Merican,Q19646358,Reezal Merican Naina Merican
44749587,Amirudin Shari,Q18684048,Amirudin Shari
45694994,Tuan Ibrahim,Q12711862,Tuan Ibrahim Tuan Man
52854931,Abang Abdul Rahman Johari Abang Openg,Q7325474,Abang Abdul Rahman Johari Abang Openg
53096280,Sim Kui Hian,Q20463288,Sim Kui Hian
55094453,Ahmad Faizal Azumu,Q38460552,Ahmad Faizal Azumu
57396707,Ahmad Samsuri Mokhtar,Q53870603,Ahmad Samsuri Mokhtar
57509222,Rina Harun,Q54005229,Rina Harun
58557020,Nor Shamsiah Mohd Yunus,Q56702497,Nor Shamsiah Mohd Yunus
59150283,Takiyuddin Hassan,Q12710292,Takiyuddin Hassan
60001572,Radzi Jidin,Q61113768,Mohd Radzi Md Jidin
62851629,Affendi Buang,Q82716484,Affendi Buang
63301597,Idrus Harun,Q87194317,Idrus Harun
63566599,Adham Baba,Q55847609,Adham Baba
64496468,Awang Tengah Ali Hasan,Q31186225,Awang Tengah Ali Hasan
64531326,Azhar Azizan Harun,Q85976933,Azhar Azizan Harun
66174360,Idris Ahmad (politician),Q20451202,Idris Ahmad
